providerId,providerMode,protocol,model,taskId,role,status,passed,latencyMs,promptTokens,completionTokens,totalTokens,fallbackCode
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-plan-001,ADMIN,PASSED,true,27934,854,3207,4061,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-source-002,COURIER,PASSED,true,15176,851,1742,2593,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-recipient-003,COURIER,PASSED,true,22777,835,2719,3554,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-customer-eta-004,CUSTOMER,PASSED,true,35805,606,4071,4677,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-report-summary-005,REPORT,PASSED,true,20018,723,2374,3097,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-blocked-006,ADMIN,PASSED,true,22199,759,2606,3365,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-confidence-007,COURIER,PASSED,true,15959,619,1832,2451,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-applied-008,ADMIN,PASSED,true,29201,758,3451,4209,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-injection-citation-009,ADMIN,PASSED,true,28214,721,3240,3961,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-no-citation-010,CUSTOMER,PASSED,true,19735,555,2306,2861,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-decimal-integrity-011,ADMIN,PASSED,true,14088,722,1660,2382,
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-fallback-boundary-012,REPORT,PASSED,true,14380,681,1647,2328,
